상품명,가격,판매여부,날짜,시간,24시간이내,프로상점,광고,케어,무료배송,지역,URL,상품ID,세부카테고리ID,대분류,중분류,소분류
그로브 ZOEY KNIT 아이보리,40000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,대전광역시 서구 둔산1동,https://m.bunjang.co.kr/products/287274995,287274995,310260800,여성의류,상의,니트_스웨터
메종키츠네 니트,160000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,서울특별시 영등포구 당산제1동,https://m.bunjang.co.kr/products/313918509,313918509,310260800,여성의류,상의,니트_스웨터
[미개봉] 애즈온 포니 스트라이프 니트 블랙,57000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/316970341,316970341,310260800,여성의류,상의,니트_스웨터
abfz 반팔 니트,6000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,대구광역시 달서구 성당동,https://m.bunjang.co.kr/products/124664307,124664307,310260800,여성의류,상의,니트_스웨터
[아르켓] 반팔 니트 베이지 XS,39000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/315473177,315473177,310260800,여성의류,상의,니트_스웨터
66/로사비나 캐시미어100 반팔 니트,12000,판매중,2025.06.12,8시간 전,✅,True,False,False,False,,https://m.bunjang.co.kr/products/316864354,316864354,310260800,여성의류,상의,니트_스웨터
미 이세이미야케 바스켓 니트 스트레치 플리츠 블랙,410000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/293821004,293821004,310260800,여성의류,상의,니트_스웨터
타임 니트,50000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/272710846,272710846,310260800,여성의류,상의,니트_스웨터
페일제이드 골지 니트 유넥 (현재 전체 품절),41000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,충청남도 천안시 서북구 불당동,https://m.bunjang.co.kr/products/248838796,248838796,310260800,여성의류,상의,니트_스웨터
셀린 니트,630000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/328217598,328217598,310260800,여성의류,상의,니트_스웨터
부루앤쥬디 카라니트,28000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,경기도 부천시 중동,https://m.bunjang.co.kr/products/161845650,161845650,310260800,여성의류,상의,니트_스웨터
그로브 grove 엘로 니트탑 블랙,40000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/270134258,270134258,310260800,여성의류,상의,니트_스웨터
그리니스 루즈핏 니트,13000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/249076082,249076082,310260800,여성의류,상의,니트_스웨터
에이블리 알파카 니트,16000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/210996940,210996940,310260800,여성의류,상의,니트_스웨터
자라 반팔 니트 처분,10000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/329574349,329574349,310260800,여성의류,상의,니트_스웨터
프롬비기닝 퍼플니트,10000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/322975815,322975815,310260800,여성의류,상의,니트_스웨터
닉앤니콜 니트,18000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/317860363,317860363,310260800,여성의류,상의,니트_스웨터
초커 니트 새상품 블랙,7000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/215511766,215511766,310260800,여성의류,상의,니트_스웨터
(새상품)샵사이다 패치 니트 롱 슬리브 탑 가디건 스웨터 윈터,8000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/318222679,318222679,310260800,여성의류,상의,니트_스웨터
샵사이다 칼라 퍼피 강아지 패턴 버튼 옐로우 노랑 카라 크롭 스웨터 니트,10000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/311089559,311089559,310260800,여성의류,상의,니트_스웨터
랄프로렌 여성 반팔 리브 니트 xs 네이비,180000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,서울특별시 강남구 세곡동,https://m.bunjang.co.kr/products/279531430,279531430,310260800,여성의류,상의,니트_스웨터
오뮤 린넨 브이넥 니트,20000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,경기도 남양주시 다산1동,https://m.bunjang.co.kr/products/314145065,314145065,310260800,여성의류,상의,니트_스웨터
